OFNS_DESC,Latitude,Longitude
MISCELLANEOUS PENAL LAW,40.592975123,-74.08971941
GRAND LARCENY,40.64173826,-74.075678037
ROBBERY,40.636560937,-74.08815304699999
OFF. AGNST PUB ORD SENSBLTY &,40.62992046,-74.147808077
GRAND LARCENY,40.625023811,-74.162019536
OFF. AGNST PUB ORD SENSBLTY &,40.645022746,-74.077216847
CRIMINAL MISCHIEF & RELATED OF,40.635331274,-74.076661585
HARRASSMENT 2,40.63597097,-74.16136514899999
OFFENSES AGAINST THE PERSON,40.629121018,-74.114777426
MISCELLANEOUS PENAL LAW,40.574140128,-74.106007765
MISCELLANEOUS PENAL LAW,40.591028011999995,-74.100907364
OFF. AGNST PUB ORD SENSBLTY &,40.547043143,-74.148340793
HARRASSMENT 2,40.632891042,-74.07683171800001
BURGLARY,40.628223339,-74.166494504
PETIT LARCENY,40.607669494,-74.12105391899999
OFF. AGNST PUB ORD SENSBLTY &,40.509952748,-74.248229559
HARRASSMENT 2,40.631056233,-74.141721976
FELONY ASSAULT,40.638984176,-74.171252305
HARRASSMENT 2,40.589251811,-74.06765791
OFFENSES AGAINST PUBLIC ADMINI,40.63953643,-74.076450225
FRAUDS,40.553011019,-74.171524945
MISCELLANEOUS PENAL LAW,40.592975123,-74.08971941
ASSAULT 3 & RELATED OFFENSES,40.636818966999996,-74.118653127
BURGLARY,40.519840788,-74.20906175100001
HARRASSMENT 2,40.58833921,-74.19248738
PETIT LARCENY,40.618227538,-74.145732625
HARRASSMENT 2,40.628787446,-74.126618624
GRAND LARCENY,40.599466823,-74.12475170399999
HARRASSMENT 2,40.623226819,-74.149226973
ARSON,40.63333429,-74.148345258
OFF. AGNST PUB ORD SENSBLTY &,40.629461031,-74.144312493
CRIMINAL MISCHIEF & RELATED OF,40.582301992,-74.168936095
CRIMINAL MISCHIEF & RELATED OF,40.644080914,-74.077767082
ROBBERY,40.623816016999996,-74.073780898
HARRASSMENT 2,40.586373818,-74.102884107
PETIT LARCENY,40.535070523,-74.158412565
ASSAULT 3 & RELATED OFFENSES,40.636766283,-74.07743068
HARRASSMENT 2,40.584327988000005,-74.08746486300001
PETIT LARCENY,40.639536936,-74.087303024
PETIT LARCENY,40.629568909,-74.10567790399999
BURGLARY,40.596481959,-74.079944177
HARRASSMENT 2,40.623441179000004,-74.14472455100001
PETIT LARCENY,40.58692579,-74.16408371600001
BURGLARY,40.599247216,-74.096227666
GRAND LARCENY,40.618227538,-74.145732625
ASSAULT 3 & RELATED OFFENSES,40.633616841999995,-74.093748014
PETIT LARCENY,40.624427193,-74.139777027
HARRASSMENT 2,40.60987587,-74.088402335
CRIMINAL MISCHIEF & RELATED OF,40.631381713,-74.12622004
HARRASSMENT 2,40.623226819,-74.149226973
PETIT LARCENY,40.629592948,-74.162689914
HARRASSMENT 2,40.636901714000004,-74.165049715
FELONY ASSAULT,40.618608871,-74.07834255
OFF. AGNST PUB ORD SENSBLTY &,40.575495801,-74.10629069699999
INTOXICATED & IMPAIRED DRIVING,40.60612948,-74.07657043
HARRASSMENT 2,40.591296878,-74.16118518100001
PETIT LARCENY,40.633021974,-74.11689900100001
ASSAULT 3 & RELATED OFFENSES,40.634707811,-74.124241117
HARRASSMENT 2,40.611512344,-74.08765175100001
CRIMINAL MISCHIEF & RELATED OF,40.532007283,-74.164287043
HARRASSMENT 2,40.645378343000004,-74.090211487
HARRASSMENT 2,40.623226819,-74.149226973
HARRASSMENT 2,40.569860866,-74.117407567
DANGEROUS DRUGS,40.638102677,-74.07790063600001
HARRASSMENT 2,40.638554506,-74.132946249
FRAUDS,40.551916391,-74.153688136
PETIT LARCENY,40.594236119,-74.068080645
CRIMINAL MISCHIEF & RELATED OF,40.547562456,-74.14577281
HARRASSMENT 2,40.629461031,-74.144312493
PETIT LARCENY,40.635285206,-74.133166722
CRIMINAL MISCHIEF & RELATED OF,40.632173139,-74.141904487
HARRASSMENT 2,40.56437484,-74.143268507
PETIT LARCENY,40.638886921,-74.132691087
ASSAULT 3 & RELATED OFFENSES,40.62221251,-74.082655072
HARRASSMENT 2,40.54959622,-74.141498821
DANGEROUS DRUGS,40.636854203,-74.088708303
HARRASSMENT 2,40.629599137,-74.154216487
HARRASSMENT 2,40.644720944,-74.07703272
HARRASSMENT 2,40.61452936,-74.066455303
CRIMINAL MISCHIEF & RELATED OF,40.533190796999996,-74.237692552
OFF. AGNST PUB ORD SENSBLTY &,40.59140354,-74.155489299
ASSAULT 3 & RELATED OFFENSES,40.645022746,-74.077216847
ASSAULT 3 & RELATED OFFENSES,40.623226819,-74.149226973
INTOXICATED & IMPAIRED DRIVING,40.625796679000004,-74.154899371
HARRASSMENT 2,40.632298227,-74.123923188
FRAUDS,40.617196842,-74.137968098
GRAND LARCENY OF MOTOR VEHICLE,40.638984176,-74.171252305
OFF. AGNST PUB ORD SENSBLTY &,40.636099595,-74.113449113
HARRASSMENT 2,40.617653795,-74.15421050100001
PETIT LARCENY,40.618608871,-74.07834255
DANGEROUS DRUGS,40.637222738,-74.115677715
HARRASSMENT 2,40.623543535,-74.164537572
GRAND LARCENY,40.636899989,-74.086251088
HARRASSMENT 2,40.617653795,-74.15421050100001
ASSAULT 3 & RELATED OFFENSES,40.608299990999996,-74.06413694
DANGEROUS DRUGS,40.513425575,-74.25047222399999
ASSAULT 3 & RELATED OFFENSES,40.62676905,-74.154368457
PETIT LARCENY,40.563282439,-74.141023939
HARRASSMENT 2,40.621006434,-74.09803851699999
GRAND LARCENY,40.639812411,-74.11434181199999
HARRASSMENT 2,40.635036765,-74.138995793
HARRASSMENT 2,40.635598836,-74.089992896
FRAUDS,40.617028955,-74.098356852
THEFT-FRAUD,40.608232858,-74.083224807
PETIT LARCENY,40.636090744,-74.136724493
CRIMINAL MISCHIEF & RELATED OF,40.638351104,-74.135543696
DANGEROUS DRUGS,40.542080395,-74.17744787699999
PETIT LARCENY,40.630539825,-74.106479241
MISCELLANEOUS PENAL LAW,40.554972179,-74.140182311
HARRASSMENT 2,40.624236771999996,-74.080755533
CRIMINAL MISCHIEF & RELATED OF,40.634261475,-74.133099827
CRIMINAL MISCHIEF & RELATED OF,40.637947966999995,-74.130498534
PETIT LARCENY,40.636256697,-74.07601410699999
VEHICLE AND TRAFFIC LAWS,40.639184404,-74.121824519
GRAND LARCENY,40.58833921,-74.19248738
HARRASSMENT 2,40.632487404,-74.14737061699999
HARRASSMENT 2,40.616193574,-74.085856935
CRIMINAL MISCHIEF & RELATED OF,40.625239240999996,-74.14454833
GRAND LARCENY,40.582301992,-74.168936095
CRIMINAL MISCHIEF & RELATED OF,40.619974141,-74.12641099300001
DANGEROUS DRUGS,40.627212944,-74.075513863
CRIMINAL MISCHIEF & RELATED OF,40.639177015,-74.131041413
PETIT LARCENY,40.638125991,-74.087466921
CRIMINAL MISCHIEF & RELATED OF,40.625070729,-74.131741402
MISCELLANEOUS PENAL LAW,40.586809204,-74.091108058
DANGEROUS DRUGS,40.535320084,-74.215808861
HARRASSMENT 2,40.644720944,-74.07703272
PETIT LARCENY,40.555057681,-74.202464084
OFFENSES AGAINST PUBLIC ADMINI,40.619922255,-74.13580525
CRIMINAL MISCHIEF & RELATED OF,40.604015196,-74.069156593
THEFT-FRAUD,40.549041275,-74.168315854
FELONY ASSAULT,40.623140111,-74.08284714199999
FELONY ASSAULT,40.574285688,-74.105914405
DANGEROUS WEAPONS,40.636560937,-74.08815304699999
ASSAULT 3 & RELATED OFFENSES,40.540990817,-74.177373025
ASSAULT 3 & RELATED OFFENSES,40.632559704,-74.075653217
PETIT LARCENY,40.644899251999995,-74.092102664
INTOXICATED & IMPAIRED DRIVING,40.625455468,-74.084561169
PETIT LARCENY,40.607349696,-74.12492850000001
OFFENSES AGAINST PUBLIC ADMINI,40.610013871,-74.083720446
FELONY ASSAULT,40.614782068000004,-74.083049279
CRIMINAL MISCHIEF & RELATED OF,40.633960812,-74.14346113399999
ASSAULT 3 & RELATED OFFENSES,40.638125991,-74.087466921
PETIT LARCENY,40.623226819,-74.149226973
OFF. AGNST PUB ORD SENSBLTY &,40.632487404,-74.14737061699999
DANGEROUS DRUGS,40.61663079,-74.084787718
FRAUDS,40.546553896999995,-74.170565646
HARRASSMENT 2,40.631974195,-74.153609502
ASSAULT 3 & RELATED OFFENSES,40.633655523,-74.14613020600001
OFF. AGNST PUB ORD SENSBLTY &,40.631648938000005,-74.117527079
CRIMINAL MISCHIEF & RELATED OF,40.625070729,-74.131741402
CRIMINAL MISCHIEF & RELATED OF,40.597233004,-74.085198795
